Turn,Character,OtherCharacter,Outcome
43,Chaotic Evil,Neutral Good,8
43,Chaotic Evil,True Neutral,4
43,Chaotic Evil,Lawful Good,7
44,Chaotic Evil,Neutral Evil,10
44,Chaotic Evil,Neutral Good,7
44,Chaotic Evil,Lawful Evil,3
47,Chaotic Evil,Lawful Evil,5
47,Chaotic Evil,Neutral Evil,1
47,Chaotic Evil,Chaotic Neutral,2
52,Chaotic Evil,Lawful Good,2
52,Chaotic Evil,Lawful Evil,5
52,Chaotic Evil,Neutral Good,8
53,Chaotic Evil,True Neutral,2
53,Chaotic Evil,Lawful Good,3
53,Chaotic Evil,Lawful Neutral,7
