Turn,Character,OtherCharacter,Outcome
48,Chaotic Good,Chaotic Neutral,7
48,Chaotic Good,Lawful Neutral,4
48,Chaotic Good,Lawful Good,1
49,Chaotic Good,Lawful Neutral,3
49,Chaotic Good,Neutral Good,2
49,Chaotic Good,Chaotic Neutral,9
50,Chaotic Good,Neutral Evil,7
50,Chaotic Good,Lawful Evil,5
50,Chaotic Good,Lawful Neutral,10
51,Chaotic Good,True Neutral,4
51,Chaotic Good,Neutral Evil,6
51,Chaotic Good,Chaotic Neutral,9
55,Chaotic Good,True Neutral,6
55,Chaotic Good,Lawful Good,4
55,Chaotic Good,Chaotic Neutral,10
