Turn,Character,OtherCharacter,Outcome
46,Chaotic Neutral,Lawful Good,6
46,Chaotic Neutral,Lawful Neutral,5
46,Chaotic Neutral,True Neutral,10
47,Chaotic Neutral,Lawful Evil,6
47,Chaotic Neutral,Neutral Evil,9
47,Chaotic Neutral,Chaotic Evil,4
48,Chaotic Neutral,Lawful Neutral,6
48,Chaotic Neutral,Chaotic Good,10
48,Chaotic Neutral,Lawful Good,6
49,Chaotic Neutral,Lawful Neutral,8
49,Chaotic Neutral,Neutral Good,7
49,Chaotic Neutral,Chaotic Good,5
51,Chaotic Neutral,Chaotic Good,3
51,Chaotic Neutral,True Neutral,10
51,Chaotic Neutral,Neutral Evil,7
54,Chaotic Neutral,Lawful Good,6
54,Chaotic Neutral,Lawful Evil,9
54,Chaotic Neutral,Lawful Neutral,1
55,Chaotic Neutral,True Neutral,10
55,Chaotic Neutral,Chaotic Good,2
55,Chaotic Neutral,Lawful Good,5
56,Chaotic Neutral,Lawful Good,2
56,Chaotic Neutral,Neutral Evil,7
56,Chaotic Neutral,True Neutral,4
