Turn,Character,OtherCharacter,Outcome
44,Lawful Evil,Neutral Evil,6
44,Lawful Evil,Neutral Good,2
44,Lawful Evil,Chaotic Evil,8
45,Lawful Evil,True Neutral,3
45,Lawful Evil,Lawful Good,10
45,Lawful Evil,Neutral Evil,7
47,Lawful Evil,Neutral Evil,8
47,Lawful Evil,Chaotic Neutral,1
47,Lawful Evil,Chaotic Evil,8
50,Lawful Evil,Neutral Evil,3
50,Lawful Evil,Chaotic Good,4
50,Lawful Evil,Lawful Neutral,6
52,Lawful Evil,Lawful Good,10
52,Lawful Evil,Chaotic Evil,10
52,Lawful Evil,Neutral Good,5
54,Lawful Evil,Lawful Good,4
54,Lawful Evil,Chaotic Neutral,2
54,Lawful Evil,Lawful Neutral,9
