Turn,Character,OtherCharacter,Outcome
43,Lawful Good,Neutral Good,3
43,Lawful Good,True Neutral,9
43,Lawful Good,Chaotic Evil,3
45,Lawful Good,Lawful Evil,3
45,Lawful Good,True Neutral,5
45,Lawful Good,Neutral Evil,5
46,Lawful Good,Chaotic Neutral,3
46,Lawful Good,Lawful Neutral,9
46,Lawful Good,True Neutral,5
48,Lawful Good,Chaotic Neutral,6
48,Lawful Good,Lawful Neutral,2
48,Lawful Good,Chaotic Good,3
52,Lawful Good,Chaotic Evil,6
52,Lawful Good,Lawful Evil,10
52,Lawful Good,Neutral Good,8
53,Lawful Good,True Neutral,4
53,Lawful Good,Chaotic Evil,8
53,Lawful Good,Lawful Neutral,4
54,Lawful Good,Lawful Evil,1
54,Lawful Good,Chaotic Neutral,6
54,Lawful Good,Lawful Neutral,10
55,Lawful Good,True Neutral,6
55,Lawful Good,Chaotic Good,4
55,Lawful Good,Chaotic Neutral,8
56,Lawful Good,Chaotic Neutral,4
56,Lawful Good,Neutral Evil,2
56,Lawful Good,True Neutral,4
