Turn,Character,OtherCharacter,Outcome
46,Lawful Neutral,Chaotic Neutral,6
46,Lawful Neutral,Lawful Good,5
46,Lawful Neutral,True Neutral,6
48,Lawful Neutral,Chaotic Neutral,10
48,Lawful Neutral,Chaotic Good,6
48,Lawful Neutral,Lawful Good,10
49,Lawful Neutral,Neutral Good,1
49,Lawful Neutral,Chaotic Good,1
49,Lawful Neutral,Chaotic Neutral,7
50,Lawful Neutral,Neutral Evil,5
50,Lawful Neutral,Lawful Evil,9
50,Lawful Neutral,Chaotic Good,9
53,Lawful Neutral,True Neutral,5
53,Lawful Neutral,Chaotic Evil,7
53,Lawful Neutral,Lawful Good,10
54,Lawful Neutral,Lawful Good,8
54,Lawful Neutral,Lawful Evil,4
54,Lawful Neutral,Chaotic Neutral,5
