Turn,Character,OtherCharacter,Outcome
44,Neutral Evil,Neutral Good,4
44,Neutral Evil,Lawful Evil,2
44,Neutral Evil,Chaotic Evil,5
45,Neutral Evil,Lawful Evil,10
45,Neutral Evil,True Neutral,10
45,Neutral Evil,Lawful Good,10
47,Neutral Evil,Lawful Evil,10
47,Neutral Evil,Chaotic Neutral,5
47,Neutral Evil,Chaotic Evil,5
50,Neutral Evil,Lawful Evil,7
50,Neutral Evil,Chaotic Good,2
50,Neutral Evil,Lawful Neutral,1
51,Neutral Evil,Chaotic Good,7
51,Neutral Evil,True Neutral,3
51,Neutral Evil,Chaotic Neutral,6
56,Neutral Evil,Lawful Good,5
56,Neutral Evil,Chaotic Neutral,4
56,Neutral Evil,True Neutral,5
