Turn,Character,OtherCharacter,Outcome
43,True Neutral,Neutral Good,3
43,True Neutral,Lawful Good,4
43,True Neutral,Chaotic Evil,7
45,True Neutral,Lawful Evil,5
45,True Neutral,Lawful Good,7
45,True Neutral,Neutral Evil,1
46,True Neutral,Chaotic Neutral,9
46,True Neutral,Lawful Good,9
46,True Neutral,Lawful Neutral,6
51,True Neutral,Chaotic Good,8
51,True Neutral,Neutral Evil,7
51,True Neutral,Chaotic Neutral,1
53,True Neutral,Chaotic Evil,3
53,True Neutral,Lawful Good,10
53,True Neutral,Lawful Neutral,8
55,True Neutral,Chaotic Good,8
55,True Neutral,Lawful Good,2
55,True Neutral,Chaotic Neutral,4
56,True Neutral,Lawful Good,10
56,True Neutral,Chaotic Neutral,1
56,True Neutral,Neutral Evil,5
